target,text
0,You were the only thing holding my life
0,I'm hoping
0,That you realize and take me back inside
0,I'm broken
0,You were the only one holding my mind
0,I'm hoping
0,That you would bring me back to life
0,You'll never know how much you mean to me
0,I'll never sleep without you in my dreams
0,You'll never know how much you mean to me
0,I'll never sleep without you in my...
0,You know that I know when you look in my eyes
0,That life's not the same when you're not by my side
0,With no one I'd rather be spending my time
0,But loving you slowly been taken my life
0,You know that we know that you won't make the time
0,You'll never revolt what you did to my mind
0,You take a step back and then you realize
0,The love that we had has been buried alive
0,You'll never know how much you mean to me
0,I'll never sleep without you in my dreams
0,You'll never know how much you mean to me
0,I'll never sleep without you in my dreams
0,Find me a new-made grave
0,And hide me like a dead man
0,I've been up for days
0,I can't tell the difference from sleeping away
0,I'm losing my patience
0,I can't feel my faith
0,I can't feel my
0,Way before you came along I was doing alright
0,"Days I'd hold you in my arms, I would give you my life"
0,"Heart break open, me, I take my blood from my eyes"
0,California something about you is on in my mind
0,"Another lonely day, reminisce the memories that you erase"
0,I'd rather go insane and yet you're telling me I'm gonna be okay
0,"Another lonely day, reminisce the memories that you erase"
0,I'd rather go insane and yet you're telling me I'm gonna be okay
0,Find me a new-made grave
0,And hide me like a dead man
0,I've been up for days
0,I can't tell the difference from sleeping away
0,I'm losing my patience
0,I can't feel my faith
0,I can't feel my
0,Way before you came along I was doing alright
0,"Days I'd hold you in my arms, I would give you my life"
0,"Heart break open, me, I take my blood from my eyes"
0,California something about you is on in my mind
0,"Runnin' away from you takes time and pain, and I don't even want to"
0,So I'm gettin' high all week without you
0,"Popping pills, thinking about you (thinking about you)"
0,Runnin' away from you takes time and pain
0,And I don't even want to
0,So I'm gettin' high all week without you
0,"Popping pills, thinking about you"
0,I wish I didn't have a heart to love you (I wish I didn't have a heart to love you)
0,I wish I didn't play a part to break you (I wish I didn't play a part to break you)
0,I wish I didn't do a lot of the shit I do (the shit I do)
0,And I wish you didn't too
0,Runnin' away from you takes time and pain
0,And I don't even want to
0,So I'm gettin' high all week without you
0,"Popping pills, thinking about you"
0,I wish I didn't have a heart to love you (I wish I didn't have a heart to love you)
0,I wish I didn't play a part to break you (I wish I didn't play a part to break you)
0,I wish I didn't do a lot of the shit I do (the shit I do)
0,And I wish you didn't too
0,Tell me that you hate me
0,Sometimes life gets fucked up (fucked up)
